EmployeeKey	ParentEmployeeKey	EmployeeNationalIDAlternateKey	ParentEmployeeNationalIDAlternateKey
176	89	273260055	750905084
102	89	830150469	750905084
29	89	384162788	750905084
65	89	502058701	750905084
56	92	540688287	345106466
130	92	242381745	345106466
165	92	260770918	345106466
216	92	260805477	345106466
225	111	701156975	45615666
236	111	113393530	45615666
254	111	56772045	45615666
243	111	872923042	45615666
241	111	339233463	45615666
262	111	163347032	45615666
155	111	25011600	45615666
193	111	63761469	45615666
118	111	886023130	45615666
28	111	964089218	45615666
23	112	277173473	295847284
14	112	245797967	295847284
7	112	24756624	295847284
8	112	24756624	295847284
44	112	441044382	295847284
143	112	184188301	295847284
144	112	184188301	295847284
152	112	519899904	295847284
277	112	112432117	295847284
159	126	377784364	712885347
215	126	65848458	712885347
129	126	539490372	712885347
90	126	514829225	712885347
54	126	275962311	712885347
35	138	160739235	386315192
75	138	604664374	386315192
113	138	733022683	386315192
200	138	878395493	386315192
184	138	993310268	386315192
146	138	764853868	386315192
170	142	663843431	30845
205	142	519756660	30845
182	142	363910111	30845
220	142	480951955	30845
133	142	931190412	30845
96	142	60517918	30845
61	142	363923697	30845
32	143	535145551	184188301
106	143	231203233	184188301
73	143	121491555	184188301
142	143	30845	184188301
151	147	812797414	319472946
181	147	404159499	319472946
218	147	300946911	319472946
103	147	322160340	319472946
94	147	212801092	319472946
57	147	568596888	319472946
67	147	97728960	319472946
222	152	141165819	519899904
192	154	672243793	858323870
30	154	749389530	858323870
81	162	811994146	134969118
117	162	658797903	134969118
221	162	879342154	134969118
197	163	399658727	551834634
148	163	456839592	551834634
115	163	187369436	551834634
77	163	435234965	551834634
42	163	713403643	551834634
63	177	138280935	578935259
22	177	443968955	578935259
100	177	420023788	578935259
136	177	363996959	578935259
171	177	227319668	578935259
209	177	301435199	578935259
203	186	621932914	862951447
164	186	305522471	862951447
128	186	969985265	862951447
80	186	368920189	862951447
41	186	545337468	862951447
64	188	476115505	60114406
52	188	351069889	60114406
26	188	498138869	60114406
34	188	271438431	60114406
88	188	746373306	60114406
137	188	585408256	60114406
116	188	364818297	60114406
127	188	87268837	60114406
175	188	860123571	60114406
150	188	259388196	60114406
208	188	568626529	60114406
213	188	587567941	60114406
187	188	551346974	60114406
234	189	109272464	33237992
21	189	9659517	33237992
10	189	690627818	33237992
15	189	844973625	33237992
12	189	912265825	33237992
19	189	565090917	33237992
17	189	132674823	33237992
24	201	835460180	332349500
25	201	687685941	332349500
139	201	167554340	332349500
101	201	199546871	332349500
185	201	20244403	332349500
92	204	345106466	398223854
43	204	885055826	398223854
47	214	295971920	634335025
70	214	370487086	634335025
58	214	918737118	634335025
33	214	761597760	634335025
93	214	19312190	634335025
108	214	992874797	634335025
83	214	632092621	634335025
141	214	746201340	634335025
119	214	749211824	634335025
194	214	693168613	634335025
219	214	440379437	634335025
156	214	436757988	634335025
229	222	552560652	141165819
51	222	553069203	141165819
6	267	480168528	974026903
269	267	486228782	974026903
293	272	90836195	502097814
281	272	841560125	502097814
282	272	191644724	502097814
283	272	615389812	502097814
284	272	234474252	502097814
285	272	716374314	502097814
286	272	61161660	502097814
287	272	139397894	502097814
288	272	399771412	502097814
289	272	987554265	502097814
290	277	982310417	112432117
294	277	481044938	112432117
272	277	502097814	112432117
270	278	280633567	895209680
265	278	20269531	895209680
268	278	437296311	895209680
237	278	466142721	895209680
235	278	482810518	895209680
227	278	407505660	895209680
242	278	367453993	895209680
245	278	381073001	895209680
248	278	785853949	895209680
168	278	603686790	895209680
202	278	792847334	895209680
295	290	954276278	982310417
291	290	668991357	982310417
292	290	134219713	982310417
296	294	758596752	481044938
